Date,Open,High,Low,Close ,Adj Close ,Volume
23-Oct-24,430.86,431.08,426.7,428.95,428.95,"6,149,105"
22-Oct-24,418.49,430.58,418.04,427.51,427.51,"24,625,100"
21-Oct-24,416.12,418.96,413.75,418.78,418.78,"14,206,100"
18-Oct-24,417.14,419.65,416.26,418.16,418.16,"17,145,300"
17-Oct-24,422.36,422.5,415.59,416.72,416.72,"14,820,000"
16-Oct-24,415.17,416.36,410.48,416.12,416.12,"15,508,900"
15-Oct-24,422.18,422.48,415.26,418.74,418.74,"18,900,200"
14-Oct-24,417.77,424.04,417.52,419.14,419.14,"16,653,100"
11-Oct-24,416.14,417.13,413.25,416.32,416.32,"14,144,900"
10-Oct-24,415.23,417.35,413.15,415.84,415.84,"13,848,400"
9-Oct-24,415.86,420.38,414.3,417.46,417.46,"14,974,300"
8-Oct-24,410.9,415.66,408.17,414.71,414.71,"19,229,300"
7-Oct-24,416,417.11,409,409.54,409.54,"20,919,800"
4-Oct-24,418.24,419.75,414.97,416.06,416.06,"19,169,700"
3-Oct-24,417.63,419.55,414.29,416.54,416.54,"13,686,400"
2-Oct-24,422.58,422.82,416.71,417.13,417.13,"16,582,300"
1-Oct-24,428.45,428.48,418.81,420.69,420.69,"19,092,900"
30-Sep-24,428.21,430.42,425.37,430.3,430.3,"16,807,300"
27-Sep-24,431.52,431.85,427.47,428.02,428.02,"14,896,100"
26-Sep-24,435.09,435.3,429.13,431.31,431.31,"14,492,000"
25-Sep-24,429.83,433.12,428.57,432.11,432.11,"13,396,400"
24-Sep-24,433,433.35,426.1,429.17,429.17,"17,015,800"
23-Sep-24,434.28,436.46,430.39,433.51,433.51,"15,128,900"
20-Sep-24,437.22,439.24,434.22,435.27,435.27,"55,167,100"
19-Sep-24,441.23,441.5,436.9,438.69,438.69,"21,706,600"
18-Sep-24,435,436.03,430.41,430.81,430.81,"18,898,000"
17-Sep-24,440.23,441.85,432.27,435.15,435.15,"18,874,200"
16-Sep-24,430.6,433.53,428.22,431.34,431.34,"13,834,700"
13-Sep-24,425.83,431.83,425.46,430.59,430.59,"15,874,600"
12-Sep-24,423.31,427.37,419.75,427,427,"17,418,800"
11-Sep-24,415.5,423.99,409.58,423.04,423.04,"19,266,900"
10-Sep-24,408.2,416.33,407.7,414.2,414.2,"19,594,300"
9-Sep-24,407.24,408.65,402.15,405.72,405.72,"15,295,100"
6-Sep-24,409.06,410.65,400.8,401.7,401.7,"19,609,500"
5-Sep-24,407.62,413.1,406.13,408.39,408.39,"14,195,500"
4-Sep-24,405.91,411.24,404.37,408.9,408.9,"15,135,800"
3-Sep-24,417.91,419.88,407.03,409.44,409.44,"20,313,600"
30-Aug-24,415.6,417.49,412.13,417.14,417.14,"24,308,300"
29-Aug-24,414.94,422.05,410.6,413.12,413.12,"17,045,200"
28-Aug-24,414.88,415,407.31,410.6,410.6,"14,882,700"
27-Aug-24,412.86,414.36,410.25,413.84,413.84,"13,492,900"
26-Aug-24,416.37,417.28,411.34,413.49,413.49,"13,152,800"
23-Aug-24,416.98,419.26,412.09,416.79,416.79,"18,493,800"
22-Aug-24,424.36,426.79,414.61,415.55,415.55,"19,361,900"
21-Aug-24,424.08,426.4,421.72,424.14,424.14,"16,067,300"
20-Aug-24,421.7,425.86,421.64,424.8,424.8,"16,387,600"
19-Aug-24,418.96,421.75,416.46,421.53,421.53,"15,234,000"
16-Aug-24,420.6,421.34,417.3,418.47,418.47,"22,775,600"
15-Aug-24,419.8,421.11,417.66,421.03,421.03,"20,752,100"
14-Aug-24,414.8,417.72,412.45,416.86,416.11,"18,267,000"
13-Aug-24,409.59,414.95,409.57,414.01,413.27,"19,414,300"
12-Aug-24,407.06,408.76,404.24,406.81,406.08,"16,762,900"
9-Aug-24,404.03,408.05,402.26,406.02,405.29,"19,276,700"
8-Aug-24,402.44,405.86,399.94,402.69,401.97,"20,203,000"
7-Aug-24,408.64,410.08,397.47,398.43,397.71,"20,650,900"
6-Aug-24,400,405.67,398.5,399.61,398.89,"24,946,500"
5-Aug-24,389.17,401.04,385.58,395.15,394.44,"40,709,200"
2-Aug-24,412.49,415,404.34,408.49,407.76,"29,437,900"
1-Aug-24,420.79,427.46,413.09,417.11,416.36,"30,296,400"
31-Jul-24,420.5,421.78,412.21,418.35,417.6,"42,891,400"
30-Jul-24,427.72,429.05,417.36,422.92,422.16,"32,687,600"
29-Jul-24,431.58,432.15,424.7,426.73,425.96,"15,125,800"
26-Jul-24,418.2,428.92,417.27,425.27,424.5,"23,583,800"
25-Jul-24,428.8,429.8,417.51,418.4,417.65,"29,943,800"
24-Jul-24,440.45,441.48,427.59,428.9,428.13,"26,805,800"
23-Jul-24,443.9,448.39,443.1,444.85,444.05,"13,107,100"
22-Jul-24,441.79,444.6,438.91,442.94,442.14,"15,808,800"
19-Jul-24,433.1,441.14,432,437.11,436.32,"20,940,400"
18-Jul-24,444.34,444.65,434.4,440.37,439.58,"20,794,800"
17-Jul-24,442.59,444.85,439.18,443.52,442.72,"21,778,000"
16-Jul-24,454.22,454.3,446.66,449.52,448.71,"17,175,700"
15-Jul-24,453.3,457.26,451.43,453.96,453.14,"14,429,400"
12-Jul-24,454.33,456.36,450.65,453.55,452.73,"16,324,300"
11-Jul-24,462.98,464.78,451.55,454.7,453.88,"23,111,200"
10-Jul-24,461.22,466.46,458.86,466.25,465.41,"18,196,100"
9-Jul-24,467,467.33,458,459.54,458.71,"17,207,200"
8-Jul-24,466.55,467.7,464.46,466.24,465.4,"12,962,300"
5-Jul-24,459.61,468.35,458.97,467.56,466.72,"16,000,300"
3-Jul-24,458.19,461.02,457.88,460.77,459.94,"9,932,800"
2-Jul-24,453.2,459.59,453.11,459.28,458.45,"13,979,800"
1-Jul-24,448.66,457.37,445.66,456.73,455.91,"17,662,800"
28-Jun-24,453.07,455.38,446.41,446.95,446.15,"28,362,300"
27-Jun-24,452.18,456.17,451.77,452.85,452.04,"14,806,300"
26-Jun-24,449,453.6,448.19,452.16,451.35,"16,507,000"
25-Jun-24,448.25,451.42,446.75,450.95,450.14,"16,747,500"
24-Jun-24,449.8,452.75,446.41,447.67,446.86,"15,913,700"
21-Jun-24,447.38,450.58,446.51,449.78,448.97,"34,486,200"
20-Jun-24,446.3,446.53,441.27,445.7,444.9,"19,877,400"
18-Jun-24,449.71,450.14,444.89,446.34,445.54,"17,112,500"
17-Jun-24,442.59,450.94,440.72,448.37,447.56,"20,790,000"
14-Jun-24,438.28,443.14,436.72,442.57,441.77,"13,582,000"
13-Jun-24,440.85,443.39,439.37,441.58,440.79,"15,960,600"
12-Jun-24,435.32,443.4,433.25,441.06,440.27,"22,366,200"
11-Jun-24,425.48,432.82,425.25,432.68,431.9,"14,551,100"
10-Jun-24,424.7,428.08,423.89,427.87,427.1,"14,003,000"
7-Jun-24,426.2,426.28,423,423.85,423.09,"13,621,700"
6-Jun-24,424.01,425.31,420.58,424.52,423.76,"14,861,300"
5-Jun-24,417.81,424.08,416.3,424.01,423.25,"16,988,000"
4-Jun-24,412.43,416.44,409.68,416.07,415.32,"14,348,900"
3-Jun-24,415.53,416.43,408.92,413.52,412.78,"17,484,700"
31-May-24,416.75,416.75,404.51,415.13,414.38,"47,995,300"
30-May-24,424.3,424.3,414.24,414.67,413.92,"28,424,800"
29-May-24,425.69,430.94,425.69,429.17,428.4,"15,517,100"
28-May-24,429.63,430.82,426.6,430.32,429.55,"15,718,000"
24-May-24,427.19,431.06,424.41,430.16,429.39,"11,845,800"
23-May-24,432.97,433.6,425.42,427,426.23,"17,211,700"
22-May-24,430.09,432.41,427.13,430.52,429.75,"18,073,700"
21-May-24,426.83,432.97,424.85,429.04,428.27,"21,453,300"
20-May-24,420.21,426.77,419.99,425.34,424.57,"16,272,100"
17-May-24,422.54,422.92,418.03,420.21,419.45,"15,352,200"
16-May-24,421.8,425.42,420.35,420.99,420.23,"17,530,100"
15-May-24,417.9,423.81,417.27,423.08,422.32,"22,239,500"
14-May-24,412.02,417.49,411.55,416.56,415.06,"15,109,300"
13-May-24,418.01,418.35,410.82,413.72,412.23,"15,440,200"
10-May-24,412.94,415.38,411.8,414.74,413.25,"13,402,300"
9-May-24,410.57,412.72,409.1,412.32,410.84,"14,689,700"
8-May-24,408.17,412.23,406.71,410.54,409.06,"11,792,300"
7-May-24,414.66,414.67,409.09,409.34,407.87,"20,018,200"
6-May-24,408.76,413.93,406.37,413.54,412.05,"16,996,600"
3-May-24,402.28,407.15,401.86,406.66,405.2,"17,446,700"
2-May-24,397.66,399.93,394.65,397.84,396.41,"17,709,400"
1-May-24,392.61,401.72,390.31,394.94,393.52,"23,562,500"
30-Apr-24,401.49,402.16,389.17,389.33,387.93,"28,781,400"
29-Apr-24,405.25,406.32,399.19,402.25,400.8,"19,582,100"
26-Apr-24,412.17,413,405.76,406.32,404.86,"29,694,700"
25-Apr-24,394.03,399.89,388.03,399.04,397.6,"40,586,500"
24-Apr-24,409.56,412.47,406.78,409.06,407.59,"15,065,300"
23-Apr-24,404.24,408.2,403.06,407.57,406.1,"15,734,500"
22-Apr-24,400.08,402.85,395.75,400.96,399.52,"20,286,900"
19-Apr-24,404.03,405.48,397.77,399.12,397.68,"30,276,500"
18-Apr-24,410.63,411.89,403.95,404.27,402.82,"21,029,900"
17-Apr-24,417.25,418.88,410.33,411.84,410.36,"15,855,500"
16-Apr-24,414.57,418.4,413.73,414.58,413.09,"16,765,600"
15-Apr-24,426.6,426.82,413.43,413.64,412.15,"20,273,500"
12-Apr-24,424.05,425.18,419.77,421.9,420.38,"19,232,100"
11-Apr-24,425.82,429.37,422.36,427.93,426.39,"17,966,400"
10-Apr-24,422.19,424.03,419.7,423.26,421.74,"16,216,600"
9-Apr-24,426.44,427.74,421.62,426.28,424.75,"12,512,300"
8-Apr-24,425.17,427.28,423.3,424.59,423.06,"14,272,400"
5-Apr-24,420.01,426.51,418.32,425.52,423.99,"16,544,300"
4-Apr-24,424.99,428.67,417.57,417.88,416.38,"19,370,900"
3-Apr-24,419.73,423.26,419.09,420.45,418.94,"16,502,300"
2-Apr-24,420.11,422.38,417.84,421.44,419.92,"17,912,000"
1-Apr-24,423.95,427.89,422.22,424.57,423.04,"16,316,000"
28-Mar-24,420.96,421.87,419.12,420.72,419.21,"21,871,200"
27-Mar-24,424.44,424.45,419.01,421.43,419.91,"16,705,000"
26-Mar-24,425.61,425.99,421.35,421.65,420.13,"16,725,600"
25-Mar-24,425.24,427.41,421.61,422.86,421.34,"18,060,500"
22-Mar-24,429.7,429.86,426.07,428.74,427.2,"17,636,500"
21-Mar-24,429.83,430.82,427.16,429.37,427.83,"21,296,200"
20-Mar-24,422,425.96,420.66,425.23,423.7,"17,860,100"
19-Mar-24,417.83,421.67,415.55,421.41,419.89,"19,837,900"
18-Mar-24,414.25,420.73,413.78,417.32,415.82,"20,106,000"
15-Mar-24,419.29,422.6,412.79,416.42,414.92,"45,049,800"
14-Mar-24,420.24,427.82,417.99,425.22,423.69,"34,157,300"
13-Mar-24,418.1,418.18,411.45,415.1,413.61,"17,115,900"
12-Mar-24,407.62,415.57,406.79,415.28,413.79,"22,457,000"
11-Mar-24,403.76,405.68,401.26,404.52,403.07,"16,120,800"
8-Mar-24,407.96,410.42,404.33,406.22,404.76,"17,971,700"
7-Mar-24,406.12,409.78,402.24,409.14,407.67,"18,718,500"
6-Mar-24,402.97,405.16,398.39,402.09,400.64,"22,344,100"
5-Mar-24,413.96,414.25,400.64,402.65,401.2,"26,919,200"
4-Mar-24,413.44,417.35,412.32,414.92,413.43,"17,596,000"
1-Mar-24,411.27,415.87,410.88,415.5,414.01,"17,800,300"
29-Feb-24,408.64,414.2,405.92,413.64,412.15,"31,947,300"
28-Feb-24,408.18,409.3,405.32,407.72,406.25,"13,183,100"
27-Feb-24,407.99,408.32,403.85,407.48,406.01,"14,835,800"
26-Feb-24,411.46,412.16,407.36,407.54,406.07,"16,193,500"
23-Feb-24,415.67,415.86,408.97,410.34,408.86,"16,295,900"
22-Feb-24,410.19,412.83,408.57,411.65,410.17,"27,009,900"
21-Feb-24,400.17,402.29,397.22,402.18,400.73,"18,631,100"
20-Feb-24,403.24,404.49,398.01,402.79,401.34,"24,307,900"
16-Feb-24,407.96,408.29,403.44,404.06,402.61,"22,281,100"
15-Feb-24,408.14,409.13,404.29,406.56,405.1,"21,825,500"
14-Feb-24,408.07,409.84,404.57,409.49,408.02,"20,401,200"
13-Feb-24,404.94,410.07,403.39,406.32,404.11,"27,824,900"
12-Feb-24,420.56,420.74,414.75,415.26,413,"21,202,900"
9-Feb-24,415.25,420.82,415.09,420.55,418.26,"22,032,800"
8-Feb-24,414.05,415.56,412.53,414.11,411.86,"21,225,300"
7-Feb-24,407.44,414.3,407.4,414.05,411.8,"22,340,500"
6-Feb-24,405.88,407.97,402.91,405.49,403.29,"18,382,600"
5-Feb-24,409.9,411.16,403.99,405.65,403.45,"25,352,300"
2-Feb-24,403.81,412.65,403.56,411.22,408.98,"28,245,000"
1-Feb-24,401.83,408,401.8,403.78,401.59,"30,657,700"
31-Jan-24,406.96,415.32,397.21,397.58,395.42,"47,871,100"
30-Jan-24,412.26,413.05,406.45,408.59,406.37,"33,477,600"
29-Jan-24,406.06,409.98,404.33,409.72,407.49,"24,510,200"
26-Jan-24,404.37,406.17,402.43,403.93,401.73,"17,803,300"
25-Jan-24,404.32,407.01,402.53,404.87,402.67,"21,021,200"
24-Jan-24,401.54,405.63,400.45,402.56,400.37,"24,867,000"
23-Jan-24,395.75,399.38,393.93,398.9,396.73,"20,525,900"
22-Jan-24,400.02,400.62,393.59,396.51,394.35,"27,016,900"
19-Jan-24,395.76,398.67,393.5,398.67,396.5,"29,272,000"
18-Jan-24,391.72,393.99,390.12,393.87,391.73,"23,392,100"
17-Jan-24,387.98,390.11,384.81,389.47,387.35,"22,234,100"
16-Jan-24,393.66,394.03,387.62,390.27,388.15,"27,202,300"
12-Jan-24,385.49,388.68,384.65,388.47,386.36,"21,645,700"
11-Jan-24,386,390.68,380.38,384.63,382.54,"27,850,800"
10-Jan-24,376.37,384.17,376.32,382.77,380.69,"25,514,200"
9-Jan-24,372.01,375.99,371.19,375.79,373.75,"20,830,000"
8-Jan-24,369.3,375.2,369.01,374.69,372.65,"23,134,000"
5-Jan-24,368.97,372.06,366.5,367.75,365.75,"20,987,000"
4-Jan-24,370.67,373.1,367.17,367.94,365.94,"20,901,500"
3-Jan-24,369.01,373.26,368.51,370.6,368.59,"23,083,500"
2-Jan-24,373.86,375.9,366.77,370.87,368.85,"25,258,600"
29-Dec-23,376,377.16,373.48,376.04,374,"18,723,000"
28-Dec-23,375.37,376.46,374.16,375.28,373.24,"14,327,000"
27-Dec-23,373.69,375.06,372.81,374.07,372.04,"14,905,400"
26-Dec-23,375,376.94,373.5,374.66,372.62,"12,673,100"
22-Dec-23,373.68,375.18,372.71,374.58,372.54,"17,091,100"
21-Dec-23,372.56,374.41,370.04,373.54,371.51,"17,708,000"
20-Dec-23,375,376.03,370.53,370.62,368.61,"26,316,700"
19-Dec-23,371.49,373.26,369.84,373.26,371.23,"20,603,700"
18-Dec-23,369.45,373,368.68,372.65,370.62,"21,802,900"
15-Dec-23,366.85,372.4,366.28,370.73,368.71,"78,478,200"
14-Dec-23,373.31,373.76,364.13,365.93,363.94,"43,277,500"
13-Dec-23,376.02,377.64,370.77,374.37,372.34,"30,955,500"
12-Dec-23,370.85,374.42,370.46,374.38,372.35,"24,838,300"
11-Dec-23,368.48,371.6,366.1,371.3,369.28,"27,708,800"
8-Dec-23,369.2,374.46,368.23,374.23,372.2,"20,144,800"
7-Dec-23,368.23,371.45,366.32,370.95,368.93,"23,118,900"
6-Dec-23,373.54,374.18,368.03,368.8,366.8,"21,182,100"
5-Dec-23,366.45,373.08,365.62,372.52,370.5,"23,065,000"
4-Dec-23,369.1,369.52,362.9,369.14,367.13,"32,063,300"
1-Dec-23,376.76,378.16,371.31,374.51,372.47,"33,020,400"
30-Nov-23,378.49,380.09,375.47,378.91,376.85,"30,554,400"
29-Nov-23,383.76,384.3,377.44,378.85,376.79,"28,963,400"
28-Nov-23,378.35,383,378.16,382.7,380.62,"20,453,100"
27-Nov-23,376.78,380.64,376.2,378.61,376.55,"22,179,200"
24-Nov-23,377.33,377.97,375.14,377.43,375.38,"10,176,600"
22-Nov-23,378,379.79,374.97,377.85,375.8,"23,345,300"
21-Nov-23,375.67,376.22,371.12,373.07,371.04,"28,423,100"
20-Nov-23,371.22,378.87,371,377.44,375.39,"52,465,100"
17-Nov-23,373.61,374.37,367,369.85,367.84,"40,157,000"
16-Nov-23,370.96,376.35,370.18,376.17,374.13,"27,182,300"
15-Nov-23,371.28,373.13,367.11,369.67,367.66,"26,860,100"
14-Nov-23,371.01,371.95,367.35,370.27,367.51,"27,683,900"
13-Nov-23,368.22,368.47,365.9,366.68,363.95,"19,986,500"
10-Nov-23,361.49,370.1,361.07,369.67,366.92,"28,042,100"
9-Nov-23,362.3,364.79,360.36,360.69,358,"24,847,300"
8-Nov-23,361.68,363.87,360.55,363.2,360.49,"26,767,800"
7-Nov-23,359.4,362.46,357.63,360.53,357.84,"25,833,900"
6-Nov-23,353.45,357.54,353.35,356.53,353.87,"23,828,300"
3-Nov-23,349.63,354.39,347.33,352.8,350.17,"23,624,000"
2-Nov-23,347.24,348.83,344.77,348.32,345.73,"24,348,100"
1-Nov-23,339.79,347.42,339.65,346.07,343.49,"28,158,800"
31-Oct-23,338.85,339,334.69,338.11,335.59,"20,265,300"
30-Oct-23,333.41,339.45,331.83,337.31,334.8,"22,828,100"
27-Oct-23,330.43,336.72,328.4,329.81,327.35,"29,856,500"
26-Oct-23,340.54,341.63,326.94,327.89,325.45,"37,828,500"
25-Oct-23,345.02,346.2,337.62,340.67,338.13,"55,053,800"
24-Oct-23,331.3,331.84,327.6,330.53,328.07,"31,153,600"
23-Oct-23,325.47,332.73,324.39,329.32,326.87,"24,374,700"
